IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9191553,YATEEKA,OIL/CHEMICAL TANKER,GABON,1555,EW-1,PORT QASIM,KARACHI,KPT,1/9/2024
9214173,KNIDOS,GENERAL CARGO,PANAMA,2120,WW-24,NHAVA SHEVA,KARACHI,KPT,1/9/2024
9460540,GRACE,OIL/CHEMICAL TANKER,KOREA,2240,EW-2,MUNDRA,KARACHI,KPT,1/9/2024
9336842,SHALAMAR,CRUDE OIL TANKER,PAKISTAN,2250,OP-2,JEBEL ALI,KARACHI,KPT,1/9/2024
9298399,AL THAKHIRA,LNG TANKER,BAHAMAS,1030,EETL,RAS LAFFAN,PORT QASIM,PQA,1/9/2024
9327035,ESTIA,CRUDE OIL TANKER,BAHAMAS,1235,FOTCO,FUJAIRAH ANCH,PORT QASIM,PQA,1/9/2024
9749714,SOUTHERN ROBIN,OIL/CHEMICAL TANKER,LIBERIA,1240,EVTL,AL JUBAIL,PORT QASIM,PQA,1/9/2024
9285952,LUSAIL,LNG TANKER,BAHAMAS,1936,PGPCL,RAS LAFFAN,PORT QASIM,PQA,1/9/2024
9286009,SEASPAN OCEANIA,CONTAINER SHIP,HONG KONG,130,SAPT-2,FUJAIRAH,KARACHI,KPT,2/9/2024
9304813,XIN CHANG SHU,CONTAINER SHIP,CHINA,1200,WW-26+27,COLOMBO,KARACHI,KPT,2/9/2024
9336191,INDEPENDENT SPIRIT,CONTAINER SHIP,GERMANY,1230,EW-6+7,DAMMAM,KARACHI,KPT,2/9/2024
9189500,IAN H,CONTAINER SHIP,LIBERIA,2200,SAPT-4,KARACHI,NHAVA SHEVA,KPT,2/9/2024
9304332,F. MUMBAI,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,2230,EW-2,HAMRIYA FREE ZONE P,KARACHI,KPT,2/9/2024
9191436,TAN BINH 59,BULK CARRIER,VIETNAM,2300,WW-24,HAZIRA,KARACHI,KPT,2/9/2024
9800635,DSI PYXIS,BULK CARRIER,MARSHALL ISLANDS,1145,PIBT,CONVENT,PORT QASIM,PQA,2/9/2024
9305881,MERATUS JAYAWIJAYA,CONTAINER SHIP ,PANAMA,1230,QICT-9,SALALAH,KARACHI,PQA,2/9/2024
